Id ;Heure;Débit;Total;Pression;Densité
481;05:27:24;0;512;72;
482;05:27:28;0;512;72;
483;05:27:32;0;512;72;
484;05:27:36;0;512;71;
485;05:27:40;0;512;71;
486;05:27:44;0;512;71;
487;05:27:48;0;512;71;
488;05:27:52;0;512;71;
489;05:27:56;0;512;71;
490;05:28:00;0;512;71;
491;05:28:04;0;512;71;
492;05:28:08;0;512;71;
493;05:28:12;0;512;71;
494;05:28:16;0;512;71;
495;05:28:20;0;512;71;
496;05:28:24;0;512;71;
497;05:28:28;0;512;71;
498;05:28:32;0;512;71;
499;05:28:36;0;512;71;
500;05:28:40;0;512;71;
501;05:28:44;0;512;70;
502;05:28:48;0;512;70;
503;05:28:52;0;512;70;
504;05:28:56;0;512;70;
505;05:29:00;0;512;70;
506;05:29:04;0;512;70;
507;05:29:08;0;512;70;
508;05:29:12;0;512;70;
509;05:29:16;0;512;70;
510;05:29:20;0;512;70;
511;05:29:24;0;512;70;
512;05:29:28;0;512;70;
513;05:29:32;0;512;70;
514;05:29:36;0;512;70;
515;05:29:40;0;512;70;
516;05:29:44;0;512;70;
517;05:29:48;0;512;69;
518;05:29:52;0;512;67;
519;05:29:56;0;512;64;
520;05:30:00;0;512;60;
521;05:30:04;0;512;56;
522;05:30:08;0;512;55;
523;05:30:12;0;512;69;
524;05:30:16;0;512;69;
525;05:30:20;0;512;69;
526;05:30:24;0;512;69;
527;05:30:28;0;512;69;
528;05:30:32;0;512;69;
529;05:30:36;0;512;69;
530;05:30:40;0;512;69;
531;05:30:44;0;512;69;
532;05:30:48;0;512;69;
533;05:30:52;0;512;69;
534;05:30:56;0;512;69;
535;05:31:00;0;512;69;
536;05:31:04;0;512;69;
537;05:31:08;0;512;69;
538;05:31:12;0;512;69;
539;05:31:16;0;512;69;
540;05:31:20;0;512;69;
541;05:31:24;0;512;69;
542;05:31:28;0;512;69;
543;05:31:32;0;512;69;
544;05:31:36;0;512;69;
545;05:31:40;0;512;69;
546;05:31:44;0;512;69;
547;05:31:48;0;512;69;
548;05:31:52;0;512;69;
549;05:31:56;0;512;68;
550;05:32:00;0;512;68;
551;05:32:04;0;512;68;
552;05:32:08;0;512;68;
553;05:32:12;0;512;68;
554;05:32:16;0;512;68;
555;05:32:20;0;512;68;
556;05:32:24;0;512;68;
557;05:32:28;0;512;68;
558;05:32:32;0;512;68;
559;05:32:36;0;512;68;
560;05:32:40;0;512;68;
561;05:32:44;0;512;68;
562;05:32:48;0;512;68;
563;05:32:52;0;512;68;
564;05:32:56;0;512;68;
565;05:33:00;0;512;68;
566;05:33:04;0;512;68;
567;05:33:08;0;512;68;
568;05:33:12;0;512;68;
569;05:33:16;0;512;68;
570;05:33:20;0;512;68;
571;05:33:24;0;512;68;
572;05:33:28;0;512;68;
573;05:33:32;0;512;68;
574;05:33:36;0;0;68;
575;05:33:40;0;0;68;
576;05:33:44;0;0;68;
577;05:33:48;0;0;68;
578;05:33:52;0;0;68;
579;05:33:56;0;0;68;
580;05:34:00;0;0;68;
581;05:34:04;0;0;68;
582;05:34:08;0;0;68;
583;05:34:12;0;0;68;
584;05:34:16;0;0;68;
585;05:34:20;0;0;68;
586;05:34:24;0;0;68;
587;05:34:28;0;0;68;
588;05:34:32;0;0;68;
589;05:34:36;0;0;68;
590;05:34:40;0;0;68;
591;05:34:44;0;0;68;
592;05:34:48;0;0;68;
593;05:34:52;0;0;68;
594;05:34:56;0;0;68;
595;05:35:00;0;0;68;
596;05:35:04;0;0;68;
597;05:35:08;0;0;68;
598;05:35:12;0;0;68;
599;05:35:16;0;0;68;
600;05:35:20;0;0;68;
601;05:35:24;0;0;67;
602;05:35:28;0;0;67;
603;05:35:32;0;0;68;
604;05:35:36;0;0;67;
605;05:35:40;0;0;67;
606;05:35:44;0;0;67;
607;05:35:48;0;0;67;
608;05:35:52;0;0;67;
609;05:35:56;0;0;67;
610;05:36:00;0;0;67;
611;05:36:04;0;0;67;
612;05:36:08;0;0;67;
613;05:36:12;0;0;67;
614;05:36:16;0;0;67;
615;05:36:20;0;0;0;
616;05:36:24;0;0;0;
617;05:36:28;0;0;0;
618;05:36:32;0;0;0;
619;05:36:36;0;0;0;
620;05:36:40;4;0;0;
621;05:36:44;4;0;0;
622;05:36:48;4;0;0;
623;05:36:52;4;0;0;
624;05:36:56;4;0;0;
625;05:37:00;4;0;0;
626;05:37:04;4;0;0;
627;05:37:08;4;0;0;
628;05:37:12;4;0;0;
629;05:37:16;4;0;0;
630;05:37:20;4;0;0;
631;05:37:24;4;0;0;
632;05:37:28;4;0;0;
633;05:37:32;4;0;0;
634;05:37:36;4;0;0;
635;05:37:40;4;0;0;
636;05:37:44;4;2;0;
