Heure;Débit;Total;Pression;Densité
05:05:56;80,45454545;80;88;
05:05:58;80,45454545;83;89;
05:06:00;80,45454545;86;88;
05:06:02;80,45454545;89;89;
05:06:04;80,45454545;91;89;
05:06:06;80,45454545;94;89;
05:06:08;80,45454545;97;90;
05:06:10;80,45454545;100;90;
05:06:12;77,90909091;102;90;
05:06:14;76,63636364;105;90;
05:06:16;76,63636364;108;91;
05:06:18;75,36363636;111;91;
05:06:20;75,36363636;113;91;
05:06:22;75,36363636;116;91;
05:06:24;76,63636364;119;91;
05:06:26;76,63636364;121;92;
05:06:28;76,63636364;124;92;
05:06:30;76,63636364;127;91;
05:06:32;76,63636364;129;92;
05:06:34;76,63636364;132;92;
05:06:36;76,63636364;135;92;
05:06:38;76,63636364;137;93;
05:06:40;75,36363636;140;92;
05:06:42;75,36363636;143;93;
05:06:44;76,63636364;145;93;
05:06:46;76,63636364;148;93;
05:06:48;76,63636364;151;93;
05:06:50;76,63636364;153;94;
05:06:52;76,63636364;156;93;
05:06:54;76,63636364;159;94;
05:06:56;75,36363636;161;93;
05:06:58;75,36363636;164;94;
05:07:00;75,36363636;166;94;
05:07:02;75,36363636;169;94;
05:07:04;74,09090909;172;94;
05:07:06;74,09090909;174;95;
05:07:08;74,09090909;177;94;
05:07:10;72,81818182;179;95;
05:07:13;71,54545455;182;95;
05:07:15;71,54545455;184;94;
05:07:17;70,27272727;187;95;
05:07:19;71,54545455;190;96;
05:07:21;72,81818182;192;95;
05:07:23;72,81818182;195;96;
05:07:25;74,09090909;197;96;
05:07:27;72,81818182;200;95;
05:07:29;72,81818182;202;96;
05:07:31;72,81818182;205;97;
05:07:33;72,81818182;207;96;
05:07:35;72,81818182;210;96;
05:07:37;72,81818182;212;97;
05:07:39;71,54545455;215;96;
05:07:41;72,81818182;217;97;
05:07:42;72,81818182;220;97;
05:07:44;72,81818182;222;97;
05:07:46;74,09090909;225;97;
05:07:48;74,09090909;227;98;
05:07:50;74,09090909;230;98;
05:07:52;72,81818182;232;97;
05:07:54;72,81818182;235;98;
05:07:56;72,81818182;237;98;
05:07:58;72,81818182;240;97;
05:08:00;72,81818182;242;98;
05:08:02;72,81818182;245;99;
05:08:04;71,54545455;248;98;
05:08:06;71,54545455;250;98;
05:08:08;71,54545455;253;99;
05:08:10;72,81818182;255;99;
05:08:12;72,81818182;258;99;
05:08:14;72,81818182;260;99;
05:08:16;72,81818182;263;100;
05:08:18;72,81818182;265;99;
05:08:20;72,81818182;268;100;
05:08:22;74,09090909;270;100;
05:08:24;72,81818182;273;99;
05:08:26;71,54545455;275;100;
05:08:28;71,54545455;278;100;
05:08:30;71,54545455;280;100;
05:08:32;72,81818182;283;100;
05:08:34;72,81818182;285;100;
05:08:36;72,81818182;288;100;
